Bloc 1 : 10 catégories finales
Tech, Cloud et IA
BTP et Ingenierie
Juridique et Administratif
Finance et Audit
Marketing et Ventes
Design et Creativite
Redaction et Langues
Audio, Video et Animation
Conseil et Formation
Logistique et Services

Bloc 2 : 300 services (format import)
1. Tech, Cloud et IA
Developpeur Frontend | Tech, Cloud et IA | [web, react, js, frontend]
43. Dessinateur Projeteur AutoCAD | BTP et Ingenierie | [plans, 2d, btp]
44. Modeleur BIM | BTP et Ingenierie | [btp, 3d, numerique, bim]
45. Ingenieur Structure Beton | BTP et Ingenierie | [ingenierie, calcul, beton]
46. Ingenieur Structure Metal | BTP et Ingenierie | [ingenierie, metal, calcul]
47. Ingenieur Fluides et CVC | BTP et Ingenierie | [plomberie, clim, cvc]
48. Ingenieur Electricien Batiment | BTP et Ingenierie | [electricite, norme, btp]
49. Auditeur Efficacite Energetique | BTP et Ingenierie | [energie, audit, btp]
50. Geotechnicien Etude de Sol | BTP et Ingenierie | [sol, etude, terrain]
51. Hydrogeologue | BTP et Ingenierie | [eau, forage, sol]
52. Metreur-Verificateur | BTP et Ingenierie | [devis, quantitatif, btp]
53. Economiste de la Construction | BTP et Ingenierie | [budget, chantier, btp]
54. Ingenieur Etudes de Prix | BTP et Ingenierie | [appelsoffres, budget]
55. Coordinateur de Travaux OPC | BTP et Ingenierie | [chantier, suivi, pilotage]
56. Maitre d'Oeuvre Delegue | BTP et Ingenierie | [chantier, gestion, pro]
57. Expert en Sinistres Batiment | BTP et Ingenierie | [assurance, expertise, btp]
58. Consultant Etudes d'Impact | BTP et Ingenierie | [environnement, impact, loi]
59. Ingenieur VRD | BTP et Ingenierie | [voirie, reseaux, route]
60. Expert Energie Solaire | BTP et Ingenierie | [solaire, pv, energie]
61. Inspecteur Drone BTP | BTP et Ingenierie | [drone, surveillance, btp]
62. Responsable HSE Chantier | BTP et Ingenierie | [securite, hygiene, btp]
63. Diagnostiqueur Immobilier | BTP et Ingenierie | [audit, vente, immo]
64. Expert Acoustique Batiment | BTP et Ingenierie | [son, isolation, btp]
65. Ingenieur Genie Civil | BTP et Ingenierie | [pont, route, infrastructure]
66. Expert en Assainissement | BTP et Ingenierie | [eau, dechets, reseau]
67. Designer de Mobilier Urbain | BTP et Ingenierie | [ville, design, btp]
68. Consultant Patrimoine Historique | BTP et Ingenierie | [renovation, histoire]
69. Ingenieur Maintenance Industrielle | BTP et Ingenierie | [usine, maintenance]
70. Specialiste Etanchéité et Toiture | BTP et Ingenierie | [btp, expertise, toit]

3. Juridique et Administratif
71. Juriste Droit des Affaires OHADA | Juridique et Administratif | [entreprise, droit, afrique]
72. Expert en Droit Foncier | Juridique et Administratif | [terrain, loi, immo]
73. Conseil en Propriete Intellectuelle | Juridique et Administratif | [marque, brevet, droit]
74. Juriste Fiscaliste Pro | Juridique et Administratif | [impots, taxe, droit]
75. Avocat Conseil Freelance | Juridique et Administratif | [loi, conseil, litige]
76. Mediateur Professionnel | Juridique et Administratif | [conflit, droit, negociation]
77. Specialiste Droit du Travail | Juridique et Administratif | [rh, contrat, loi]
78. Expert Droit du Numerique | Juridique et Administratif | [web, rgpd, donnee]
79. Redacteur de Contrats | Juridique et Administratif | [vente, juridique, business]
80. Consultant Droit Douanier | Juridique et Administratif | [import, export, douane]
81. Mandataire Formalites Administratives | Juridique et Administratif | [admin, creation, etat]
82. Redacteur Appels d'Offres | Juridique et Administratif | [business, marche, admin]
83. Assistant de Direction Virtuel | Juridique et Administratif | [gestion, support, admin]
84. Assistant Juridique | Juridique et Administratif | [droit, support, admin]
85. Office Manager Partage | Juridique et Administratif | [organisation, admin, pro]
86. Transcriptionniste Audio | Juridique et Administratif | [saisie, texte, saisie]
87. Secretaire Medical a distance | Juridique et Administratif | [sante, admin, support]
88. Gestionnaire de Paie | Juridique et Administratif | [rh, salaire, compta]
89. Recruteur Independant | Juridique et Administratif | [rh, recrutement, talent]
90. Chasseur de Tetes | Juridique et Administratif | [rh, recrutement, pro]
91. Consultant Mobilite Internationale | Juridique et Administratif | [visa, expatriation, loi]
92. Expert Relations Sociales | Juridique et Administratif | [rh, syndicat, droit]
93. Auditeur de Conformite | Juridique et Administratif | [loi, compliance, audit]
94. Specialiste Archivage Numerique | Juridique et Administratif | [donnees, admin, scan]
95. Agent de Sourcing Fournisseurs | Juridique et Administratif | [achat, admin, logistique]
96. Ecrivain Public Formalites | Juridique et Administratif | [redaction, admin, aide]
97. Consultant Affaires Publiques | Juridique et Administratif | [lobbying, etat, relation]
98. Agent de Liaison Administrative | Juridique et Administratif | [admin, reseau, etat]
99. Expert Assurance Pro | Juridique et Administratif | [assurance, risque, loi]
100. Consultant en Droit de l'Environnement | Juridique et Administratif | [ecologie, loi, impact]
101. Enqueteur de Moralite | Juridique et Administratif | [droit, enquete, pro]
102. Specialiste en Droit de la Famille | Juridique et Administratif | [civil, loi, divorce]
103. Conseiller en Creation d'Entreprise | Juridique et Administratif | [admin, startup, loi]
104. Assistant en Gestion Immobiliere | Juridique et Administratif | [immo, admin, gestion]
105. Consultant en Ethique et Gouvernance | Juridique et Administratif | [loi, conseil, rse]

4. Finance et Audit
106. Expert-Comptable Independant | Finance et Audit | [compta, bilan, finance]
107. Auditeur Financier Externe | Finance et Audit | [audit, compte, finance]
108. Controleur de Gestion | Finance et Audit | [budget, gestion, finance]
109. Analyste de Risques Financiers | Finance et Audit | [banque, risque, finance]
110. Conseiller en Investissement | Finance et Audit | [bourse, placement, finance]
111. Expert en Levee de Fonds | Finance et Audit | [startup, capital, finance]
112. Courtier en Credit Pro | Finance et Audit | [banque, pret, finance]
113. Consultant en Microfinance | Finance et Audit | [afrique, finance, banque]
114. Analyste Crypto et DeFi | Finance et Audit | [blockchain, crypto, finance]
115. Consultant Fusion-Acquisition | Finance et Audit | [business, capital, finance]
116. Gestionnaire de Tresorerie | Finance et Audit | [cash, gestion, banque]
117. Auditeur de Fraude et Malversation | Finance et Audit | [investigation, audit, loi]
118. Consultant Business Plan | Finance et Audit | [projet, creation, finance]
119. Trader pour Compte Propre | Finance et Audit | [bourse, marche, trading]
120. Courtier en Assurances Entreprises | Finance et Audit | [risque, protection, pro]
121. Analyste de Couts | Finance et Audit | [economie, budget, optimisation]
122. Expert Valorisation de Societe | Finance et Audit | [capital, business, audit]
123. Consultant Gestion de Fortune | Finance et Audit | [patrimoine, banque, prive]
124. Auditeur Processus Achats | Finance et Audit | [audit, logistique, finance]
125. Expert Credit Management | Finance et Audit | [recouvrement, facture, client]
126. Specialiste Crowdfunding | Finance et Audit | [financement, projet, participatif]
127. Fiscaliste International | Finance et Audit | [loi, monde, taxe]
128. Commissaire aux Comptes | Finance et Audit | [legal, audit, compte]
129. Analyste Credit Bancaire | Finance et Audit | [banque, dossier, risque]
130. Expert Bilan Carbone | Finance et Audit | [rse, ecologie, finance]
131. Conseiller en Epargne Retraite | Finance et Audit | [placement, prevoyance]
132. Consultant Finance Durable | Finance et Audit | [esg, finance, rse]
133. Expert en Consolidation Financiere | Finance et Audit | [compta, groupe, audit]
134. Analyste Financier Junior | Finance et Audit | [finance, etude, support]
135. Consultant en Tarification | Finance et Audit | [prix, strategie, finance]

5. Marketing et Ventes
136. Consultant SEO Referencement | Marketing et Ventes | [google, seo, visibilite]
137. Expert SEA Google Ads | Marketing et Ventes | [pub, sea, google]
138. Media Buyer Social Ads | Marketing & Ventes | [pub, facebook, tiktok, ads]
139. Community Manager | Marketing et Ventes | [social, engagement, reseau]
140. Social Media Strategist | Marketing et Ventes | [strategie, social, reseau]
141. Growth Hacker | Marketing et Ventes | [croissance, tech, marketing]
142. Manager d'Influenceurs | Marketing et Ventes | [influence, social, talent]
143. Content Manager | Marketing et Ventes | [contenu, editorial, web]
144. Responsable Marketing Digital | Marketing et Ventes | [strategie, web, marketing]
145. Expert Web Analytics | Marketing et Ventes | [data, google, analytics]
146. Consultant Conversion CRO | Marketing et Ventes | [vente, web, optimisation]
147. Specialiste Email Marketing | Marketing et Ventes | [newsletter, automation, vente]
148. Copywriter de Vente | Marketing et Ventes | [redaction, vente, marketing]
149. Ghostwriter LinkedIn | Marketing et Ventes | [branding, social, ecrit]
150. Attache de Presse Digital | Marketing et Ventes | [rp, media, web]
151. Brand Strategist | Marketing et Ventes | [marque, identite, branding]
152. Business Developer | Marketing et Ventes | [vente, prospection, pro]
153. Closer de Vente | Marketing et Ventes | [vente, telephone, closing]
154. Teleprospecteur SDR | Marketing et Ventes | [appel, prospection, vente]
155. Customer Success Manager | Marketing et Ventes | [client, fidelisation, support]
156. Expert Marketing de Reseau | Marketing et Ventes | [mlm, vente, reseau]
157. Specialiste Affiliation | Marketing et Ventes | [partenariat, vente, web]
158. Analyste de Marche | Marketing et Ventes | [etude, business, marketing]
159. Consultant Marketing Local | Marketing et Ventes | [googlemaps, local, seo]
160. Expert Marketing Automation | Marketing et Ventes | [crm, automation, tech]
161. Consultant Communication de Crise | Marketing et Ventes | [rp, image, crise]
162. Scenariste Publicitaire | Marketing et Ventes | [video, pub, ecrit]
163. Coach en Vente B2B | Marketing et Ventes | [negociation, vente, pro]
164. Consultant Merchandising Web | Marketing et Ventes | [ecommerce, vente, design]
165. Responsable Partenariats | Marketing et Ventes | [business, reseau, vente]
166. Chef de Projet Evenementiel Web | Marketing et Ventes | [virtuel, pro, web]
167. Analyste Veille Concurrentielle | Marketing et Ventes | [veille, business, etude]
168. Specialiste Marketing Mobile | Marketing et Ventes | [app, sms, mobile]
169. Consultant Identite Sonore | Marketing et Ventes | [audio, marque, branding]
170. Manager de Campagne Politique | Marketing et Ventes | [strategie, comm, election]

6. Design et Creativite
171. Designer Graphique Print | Design et Creativite | [graphisme, print, logo]
172. Createur de Logo et Branding | Design et Creativite | [branding, identite, logo]
173. Designer UX Experience | Design et Creativite | [ux, produit, web]
174. Designer UI Interface | Design et Creativite | [ui, web, app]
175. Product Designer Mobile | Design et Creativite | [app, design, produit]
176. UX Researcher | Design et Creativite | [recherche, utilisateur, ux]
177. Motion Designer 2D | Design et Creativite | [animation, video, motion]
178. Animateur 3D | Design et Creativite | [3d, animation, video]
179. Illustrateur Digital | Design et Creativite | [dessin, art, digital]
180. Designer de Packaging | Design et Creativite | [produit, emballage, design]
181. Designer Textile et Mode | Design et Creativite | [mode, vetement, textile]
182. Photographe Produits E-com | Design et Creativite | [photo, ecommerce, produit]
183. Photographe Evenementiel | Design et Creativite | [photo, pro, evenement]
184. Retoucheur Photo Pro | Design et Creativite | [image, edition, photo]
185. Artiste Conceptuel Jeux | Design et Creativite | [dessin, jeu, concept]
186. Storyboarder Video | Design et Creativite | [dessin, video, cinema]
187. Designer de Presentations | Design et Creativite | [ppt, pitch, slide]
188. Infographiste 3D Immo | Design et Creativite | [3d, immo, btp]
189. Typographe Createur | Design et Creativite | [police, texte, typo]
190. Designer de Signaletique | Design et Creativite | [ville, magasin, design]
191. Directeur Artistique Freelance | Design et Creativite | [strategie, visuel, art]
192. Maquettiste Presse | Design et Creativite | [magazine, print, edition]
193. Iconographe Recherche | Design et Creativite | [image, photo, recherche]
194. Artiste NFT Crypto | Design et Creativite | [crypto, art, web3]
195. Coloriste de Bande Dessinee | Design et Creativite | [bd, dessin, couleur]
196. Designer de Stand Expo | Design et Creativite | [evenement, expo, design]
197. Visual Merchandiser Digital | Design et Creativite | [ecommerce, vitrine, design]
198. Createur Filtres AR | Design et Creativite | [insta, snap, ar]
199. Designer de Kiosque Tactile | Design et Creativite | [ui, hardware, design]
200. Designer de Jeux de Societe | Design et Creativite | [loisir, design, jeu]
201. Specialiste en Design d'Email | Design et Creativite | [web, newsletter, design]
202. Designer d'Icones | Design et Creativite | [ui, web, icone]
203. Caricaturiste Evenementiel | Design et Creativite | [dessin, art, humour]
204. Calligraphe Professionnel | Design et Creativite | [art, ecrit, luxe]
205. Designer de Bijoux | Design et Creativite | [mode, luxe, design]

7. Redaction et Langues
206. Redacteur Web SEO | Redaction et Langues | [article, google, seo]
207. Redacteur Technique | Redaction et Langues | [manuel, guide, pro]
208. Journaliste Pigiste | Redaction et Langues | [presse, media, info]
209. Traducteur Anglais-Français | Redaction et Langues | [langue, en-fr]
210. Traducteur Arabe-Français | Redaction et Langues | [langue, ar-fr]
211. Interprete de Conference | Redaction et Langues | [oral, direct, langue]
212. Traducteur Juridique Assermente | Redaction et Langues | [loi, officiel, langue]
213. Traducteur Medical | Redaction et Langues | [sante, expertise, langue]
214. Localisateur de Logiciels | Redaction et Langues | [tech, app, langue]
215. Sous-titreur Video | Redaction et Langues | [video, cinema, langue]
216. Relecteur Correcteur | Redaction et Langues | [orthographe, livre, edition]
217. Biographe pour Particuliers | Redaction et Langues | [livre, vie, ecrit]
218. Scenariste de Fiction | Redaction et Langues | [cinema, video, ecrit]
219. Script Doctor Reecriture | Redaction et Langues | [cinema, ecrit, pro]
220. Editeur de Contenu Web | Redaction et Langues | [blog, web, editorial]
221. Specialiste Transcreation | Redaction et Langues | [pub, adaptation, langue]
222. Analyste de Presse | Redaction et Langues | [veille, info, media]
223. Auteur de Newsletters | Redaction et Langues | [email, contenu, ecrit]
224. Traducteur Wolof-Français | Redaction et Langues | [afrique, langue, local]
225. Traducteur Bambara-Français | Redaction et Langues | [afrique, langue, local]
226. Traducteur Yoruba-Français | Redaction et Langues | [afrique, langue, local]
227. Consultant en Terminologie | Redaction et Langues | [lexique, pro, langue]
228. Redacteur de Livres Blancs | Redaction et Langues | [marketing, b2b, ecrit]
229. Expert Storytelling Marque | Redaction et Langues | [branding, ecrit, marketing]
230. Ghostwriter pour Livres | Redaction et Langues | [ecrivain, negre, livre]
231. Parolier Musique | Redaction et Langues | [texte, chanson, art]
232. Critique de Cinema | Redaction et Langues | [media, culture, video]
233. Redacteur de CV Pro | Redaction et Langues | [emploi, rh, ecrit]
234. Correcteur Academique | Redaction et Langues | [etudiant, these, edition]
235. Specialiste en Ecriture Inclusive | Redaction et Langues | [socite, langue, pro]

8. Audio, Video et Animation
236. Monteur Video YouTube | Audio, Video et Animation | [social, montage, video]
237. Monteur de Documentaire | Audio, Video et Animation | [cinema, montage, long]
238. Realisateur Video Pro | Audio, Video et Animation | [film, pro, video]
239. Cadreur Operateur | Audio, Video et Animation | [camera, tournage, video]
240. Pilote de Drone Video | Audio, Video et Animation | [drone, vue-aerienne]
241. Ingenieur du Son Tournage | Audio, Video et Animation | [audio, direct, son]
242. Sound Designer | Audio, Video et Animation | [bruitage, son, effet]
243. Mixeur Audio Studio | Audio, Video et Animation | [musique, postprod, son]
244. Producteur de Podcast | Audio, Video et Animation | [radio, web, audio]
245. Comedien Voix-off | Audio, Video et Animation | [doublage, pub, audio]
246. Etalonneur Video | Audio, Video et Animation | [couleur, image, video]
247. Specialiste VFX Effets | Audio, Video et Animation | [cinema, 3d, video]
248. Animateur Motion 3D | Audio, Video et Animation | [motion, graphisme, video]
249. Expert Streaming Live | Audio, Video et Animation | [direct, regie, web]
250. Compositeur Musique Image | Audio, Video et Animation | [film, ost, musique]
251. Bruiteur de Cinema | Audio, Video et Animation | [cinema, son, bruit]
252. Monteur de Reels et TikTok | Audio, Video et Animation | [mobile, social, video]
253. Specialiste Accessibilite SME | Audio, Video et Animation | [soustitre, sourd]
254. Consultant Strategie Video | Audio, Video et Animation | [marketing, conseil, video]
255. Beatmaker Production | Audio, Video et Animation | [musique, hiphop, prod]
256. Ingenieur de Mastering | Audio, Video et Animation | [audio, studio, final]
257. Eclairagiste Plateau | Audio, Video et Animation | [lumiere, tournage, video]
258. Regisseur de Production | Audio, Video et Animation | [film, logistique, pro]
259. Createur de Jingles Audio | Audio, Video et Animation | [pub, audio, marque]
260. Videaste de Mariage | Audio, Video et Animation | [prive, photo, video]

9. Conseil et Formation
261. Consultant Strategie Business | Conseil et Formation | [entreprise, croissance, conseil]
262. Consultant Logistique Supply | Conseil et Formation | [transport, usine, conseil]
263. Expert Organisation Pro | Conseil et Formation | [gestion, process, conseil]
264. Formateur Outils Digitaux | Conseil et Formation | [web, tech, formation]
265. Coach Prise de Parole | Conseil et Formation | [pitch, oral, coach]
266. Mentor Entrepreneurs | Conseil et Formation | [startup, aide, coach]
267. Coach de Carriere Pro | Conseil et Formation | [emploi, rh, coach]
268. Concepteur Pedagogique | Conseil et Formation | [elearning, ecole, formation]
269. Tuteur Scolaire en Ligne | Conseil et Formation | [scolaire, aide, formation]
270. Coach en Productivite | Conseil et Formation | [temps, gestion, coach]
271. Consultant Interculturel | Conseil & Formation | [international, management]
272. Formateur en Soft Skills | Conseil et Formation | [humain, pro, formation]
273. Consultant Gestion du Stress | Conseil et Formation | [sante, travail, conseil]
274. Expert Scrum Master Agiles | Conseil et Formation | [tech, projet, conseil]
275. Consultant en Franchise | Conseil et Formation | [commerce, reseau, conseil]
276. Coach en Leadership | Conseil et Formation | [management, pro, coach]
277. Formateur en Negociation | Conseil et Formation | [vente, pro, formation]
278. Consultant Economie Circulaire | Conseil et Formation | [ecologie, rse, conseil]
279. Expert Intelligence Economique | Conseil et Formation | [veille, strategie, conseil]
280. Facilitateur Design Thinking | Conseil et Formation | [innovation, atelier, conseil]
281. Formateur en Langues Pro | Conseil et Formation | [anglais, formation, pro]
282. Coach en Nutrition au Travail | Conseil et Formation | [sante, performance, coach]
283. Consultant Export Afrique | Conseil et Formation | [marche, business, conseil]
284. Expert en Management Public | Conseil et Formation | [etat, admin, conseil]
285. Formateur en IA Generative | Conseil et Formation | [ia, tech, formation]

10. Logistique et Services
286. Gestionnaire Boutique Jumia | Logistique et Services | [ecommerce, afrique, vente]
287. Specialiste Dropshipping | Logistique et Services | [ecommerce, stock, vente]
288. Consultant Import-Export | Logistique et Services | [douane, transit, logistique]
289. Agent de Transit Freelance | Logistique et Services | [port, douane, logistique]
290. Expert Gestion de Stocks | Logistique et Services | [entrepot, supply, logistique]
291. Consultant Packaging Durable | Logistique et Services | [produit, rse, logistique]
292. Planificateur Evenements Corp | Logistique et Services | [pro, evenement, logistique]
293. Wedding Planner Pro | Logistique et Services | [prive, mariage, logistique]
294. Enqueteur Client Mystere | Logistique et Services | [vente, audit, pro]
295. Consultant Securite Physique | Logistique et Services | [gardiennage, risque, pro]
296. Gestionnaire Conciergerie Airbnb | Logistique et Services | [immo, location, service]
297. Agent de Booking Artistes | Logistique et Services | [musique, talent, pro]
298. Consultant Sourcing Matieres | Logistique et Services | [achat, usine, logistique]
299. Expert Certification Qualite ISO | Logistique et Services | [norme, usine, audit]
300. Enqueteur de Terrain Sondage | Logistique et Services | [data, recherche, terrain]
